scenario,t,u,x1,x2
1,0.0,-0.3982533399067625,0.1082013506465902,-2.797205453066274
1,0.05555555555555555,-0.3982533399067625,0.18496653615404454,-2.7889275745301356
1,0.1111111111111111,-0.3982533399067625,0.23766748157940895,-2.7770970084828166
1,0.16666666666666666,-0.3982533399067625,0.2741630232250123,-2.762818616587033
1,0.2222222222222222,-0.3982533399067625,0.29977350792637825,-2.746835100298031
1,0.2777777777777778,-0.3982533399067625,0.31807807870699756,-2.7296452326890073
1,0.3333333333333333,-0.3982533399067625,0.33147537506948854,-2.711583633187215
1,0.38888888888888884,-0.3982533399067625,0.34157570125897,-2.6928753565286923
1,0.4444444444444444,-0.3982533399067625,0.34945954803442275,-2.6736715039966685
1,0.5,-0.626108367316244,0.3558560241101637,-2.654073747098101
1,0.5555555555555556,-0.626108367316244,0.3504795031694945,-2.6344656990404474
1,0.6111111111111112,-0.626108367316244,0.34739789797590376,-2.615089124573406
1,0.6666666666666666,-0.626108367316244,0.3459191388121409,-2.5958365995299992
1,0.7222222222222222,-0.626108367316244,0.34557218217573427,-2.5766329255114946
1,0.7777777777777778,-0.626108367316244,0.3460329085418397,-2.5574246201418562
1,0.8333333333333333,-0.626108367316244,0.3470801147500513,-2.5381735884228647
1,0.8888888888888888,-0.626108367316244,0.34855966264579247,-2.5188518782724523
1,0.9444444444444444,-0.626108367316244,0.3503635575425384,-2.4994385919904523
1,1.0,-0.3536346460635611,0.3524167656423883,-2.4799178902393897
1,1.0555555555555556,-0.3536346460635611,0.36786191509917504,-2.4598942341667733
1,1.1111111111111112,-0.3536346460635611,0.38032640712659904,-2.43909946849922
1,1.1666666666666667,-0.3536346460635611,0.3906725108114492,-2.4176744647099064
1,1.2222222222222223,-0.3536346460635611,0.39951749329274006,-2.3957188738165307
1,1.2777777777777777,-0.3536346460635611,0.4073075509964641,-2.3733031550167287
1,1.3333333333333333,-0.3536346460635611,0.41436510875266774,-2.350476308197613
1,1.3888888888888888,-0.3536346460635611,0.42092611636170707,-2.327272024589184
1,1.4444444444444444,-0.3536346460635611,0.4271652671774258,-2.3037128326567204
