scenario,t,v,ic,h
1,0.0,3.0443669674699234,5.5215306406653255,5.5215306406653255
1,10.0,3.0443669674699234,5.5215306406653255,6.2123411357125455
2,0.0,2.0039565340587107,7.087257473983003,7.087257473983003
2,10.0,2.0039565340587107,7.087257473983003,6.418677359066327
3,0.0,3.1190392260758912,5.005474463711232,5.005474463711232
3,10.0,3.1190392260758912,5.005474463711232,5.879466103505269
4,0.0,1.1464203681058756,13.133971923462594,13.133971923462594
4,10.0,1.1464203681058756,13.133971923462594,10.561171575082462
5,0.0,4.302300864013559,9.270257611562197,9.270257611562197
5,10.0,4.302300864013559,9.270257611562197,10.555872662449516
6,0.0,1.8693142695000744,18.031519652823537,18.031519652823537
6,10.0,1.8693142695000744,18.031519652823537,15.531592164843445
7,0.0,4.41741641955975,3.8356284861641865,3.8356284861641865
7,10.0,4.41741641955975,3.8356284861641865,6.259476056377977
8,0.0,1.4284786876423001,14.805748557451361,14.805748557451361
8,10.0,1.4284786876423001,14.805748557451361,12.280648258544035
9,0.0,2.813492360660548,10.296080768802511,10.296080768802511
9,10.0,2.813492360660548,10.296080768802511,9.88451041236311
10,0.0,2.106425901419543,9.199961442335994,9.199961442335994
10,10.0,2.106425901419543,9.199961442335994,8.247943653732149
11,0.0,1.0381255719752356,11.81062151065358,11.81062151065358
11,10.0,1.0381255719752356,11.81062151065358,9.33129053105776
12,0.0,2.64933833617081,19.423392610333174,19.423392610333174
12,10.0,2.64933833617081,19.423392610333174,17.56716861923698
13,0.0,2.5467965699620896,19.119991131469913,19.119991131469913
13,10.0,2.5467965699620896,19.119991131469913,17.19341130073475
14,0.0,3.5290776698790967,18.637536462344496,18.637536462344496
14,10.0,3.5290776698790967,18.637536462344496,17.802171265932355
15,0.0,4.18870806610839,6.791953116770466,6.791953116770466
15,10.0,4.18870806610839,6.791953116770466,8.39057397469759
16,0.0,0.8543283620044135,19.392944384579113,19.392944384579113
16,10.0,0.8543283620044135,19.392944384579113,15.656865038692791
17,0.0,1.273296464241599,13.271518865155246,13.271518865155246
17,10.0,1.273296464241599,13.271518865155246,10.809160099202233
18,0.0,4.427065052974578,8.664791741606289,8.664791741606289
18,10.0,4.427065052974578,8.664791741606289,10.178569230322312
19,0.0,1.4289629655871061,3.8262879520810436,3.8262879520810436
19,10.0,1.4289629655871061,3.8262879520810436,3.311200436159872
20,0.0,1.4439961691734715,14.169838271291026,14.169838271291026
20,10.0,1.4439961691734715,14.169838271291026,11.751946533392433
21,0.0,2.9849443317674482,11.194976373355546,11.194976373355546
21,10.0,2.9849443317674482,11.194976373355546,10.817109162763076
22,0.0,3.4030626777404014,12.380660390731883,12.380660390731883
22,10.0,3.4030626777404014,12.380660390731883,12.255189155773609
23,0.0,3.218960313115455,8.93727788899944,8.93727788899944
23,10.0,3.218960313115455,8.93727788899944,9.16718260526938
24,0.0,0.6229664562496274,2.3674041531346948,2.3674041531346948
24,10.0,0.6229664562496274,2.3674041531346948,1.5158094902157626
25,0.0,4.064929680831714,14.814475331072327,14.814475331072327
25,10.0,4.064929680831714,14.814475331072327,15.033612345279538
26,0.0,1.6314195452537994,9.487102519709197,9.487102519709197
26,10.0,1.6314195452537994,9.487102519709197,8.000816211328305
27,0.0,2.694669627034133,2.8830527490154907,2.8830527490154907
27,10.0,2.694669627034133,2.8830527490154907,3.839926133306717
28,0.0,1.9868599658916954,13.264559926597313,13.264559926597313
28,10.0,1.9868599658916954,13.264559926597313,11.541495804179872
29,0.0,0.6051662408538018,8.264732641180878,8.264732641180878
29,10.0,0.6051662408538018,8.264732641180878,5.959818005564457
30,0.0,2.4518890301114586,11.613276135386666,11.613276135386666
30,10.0,2.4518890301114586,11.613276135386666,10.620592188015845
31,0.0,3.7971246192989883,3.7485280759609623,3.7485280759609623
31,10.0,3.7971246192989883,3.7485280759609623,5.575222447892243
32,0.0,1.949599953540498,15.416226124420088,15.416226124420088
32,10.0,1.949599953540498,15.416226124420088,13.347724262691676
33,0.0,2.5357593433515873,11.108945324588134,11.108945324588134
33,10.0,2.5357593433515873,11.108945324588134,10.281633133228398
34,0.0,2.3658975454298554,18.299454087591652,18.299454087591652
34,10.0,2.3658975454298554,18.299454087591652,16.285654944470398
35,0.0,2.025300749404547,2.6502124013065607,2.6502124013065607
35,10.0,2.025300749404547,2.6502124013065607,3.0261105129002344
36,0.0,3.4393411675391676,18.178147631708626,18.178147631708626
36,10.0,3.4393411675391676,18.178147631708626,17.3055555655147
37,0.0,1.82420621468151,4.813523824912306,4.813523824912306
37,10.0,1.82420621468151,4.813523824912306,4.444894724463559
38,0.0,2.851981238394063,16.861550026429153,16.861550026429153
