t,v,h
0.0,1.6884496536841442,5.066580817886818
0.10050251256281408,1.6884496536841442,5.060213173300698
0.20100502512562815,1.6884496536841442,5.05385932238302
0.30150753768844224,1.6884496536841442,5.0475206712405525
0.4020100502512563,1.6884496536841442,5.041197676083363
0.5025125628140704,1.6884496536841442,5.034890498479799
0.6030150753768845,1.6884496536841442,5.028599137595281
0.7035175879396985,1.6884496536841442,5.022323525018013
0.8040201005025126,1.6884496536841442,5.016063622849737
0.9045226130653267,1.6884496536841442,5.009819470601976
1.0050251256281408,1.6884496536841442,5.00359106827473
1.105527638190955,1.6884496536841442,4.997378415867998
1.206030150753769,1.6884496536841442,4.991180950914672
1.306532663316583,1.6884496536841442,4.984999100754432
1.407035175879397,1.6884496536841442,4.9788328691444095
1.5075376884422111,1.6884496536841442,4.972682256084607
1.6080402010050252,1.6884496536841442,4.966547261575022
1.7085427135678393,1.6884496536841442,4.9604278856156565
1.8090452261306533,1.6884496536841442,4.954324128206509
1.9095477386934674,1.6884496536841442,4.94823571149346
2.0100502512562817,1.6884496536841442,4.942162281291249
2.1105527638190957,1.6884496536841442,4.9361042750039426
2.21105527638191,1.6884496536841442,4.93006169263154
2.311557788944724,1.6884496536841442,4.924034534174042
2.412060301507538,1.6884496536841442,4.918022799631448
2.512562814070352,1.6884496536841442,4.9120264890037575
2.613065326633166,1.6884496536841442,4.906045602290972
2.71356783919598,1.6884496536841442,4.9000794906667196
2.814070351758794,1.6884496536841442,4.894128367895901
2.9145728643216082,1.6884496536841442,4.88819245396528
3.0150753768844223,1.6884496536841442,4.882271748874857
3.1155778894472363,1.6884496536841442,4.876366252624631
3.2160804020100504,1.6884496536841442,4.870475965214604
3.3165829145728645,1.6884496536841442,4.864600886644776
3.4170854271356785,1.6884496536841442,4.858740942940529
3.5175879396984926,1.6884496536841442,4.852895308465513
3.6180904522613067,1.6884496536841442,4.8470646617778765
3.7185929648241207,1.6884496536841442,4.841249002877619
3.819095477386935,1.6884496536841442,4.835448331764741
3.919597989949749,1.6884496536841442,4.829662648439243
4.020100502512563,1.6884496536841442,4.823891952901123
4.120603015075377,1.6884496536841442,4.8181362451503835
4.2211055276381915,1.6884496536841442,4.8123951196392385
4.3216080402010055,1.6884496536841442,4.806668327788432
4.42211055276382,1.6884496536841442,4.800956301526063
