scenario,t,v1,v2,h1,h2,h3,h4
1,0.0,2.4283016081668647,1.2517501415905083,2.719265756419591,9.73085921176949,7.66868369316839,13.456840575215804
1,1.1111111111111112,2.4283016081668647,1.2517501415905083,3.0110810416960136,9.849861901812142,7.409243487173377,13.276717753887354
1,2.2222222222222223,2.4283016081668647,1.2517501415905083,3.2868125735715856,9.96507718047533,7.155680210281876,13.098747719061773
1,3.3333333333333335,2.4283016081668647,1.2517501415905083,3.5474437444426083,10.076575092568493,6.90796365185978,12.922920238180023
1,4.444444444444445,2.4283016081668647,1.2517501415905083,3.7938535497207084,10.184427514204243,6.666058940330095,12.74922365852481
1,5.555555555555555,2.4283016081668647,1.2517501415905083,4.026807864338258,10.288703926464759,6.429930534653984,12.577646342354178
1,6.666666666666667,2.4283016081668647,1.2517501415905083,4.246977987927868,10.389471837580471,6.199541877203975,12.40817658276813
1,7.777777777777779,2.4283016081668647,1.2517501415905083,4.454962758806484,10.486797071551916,5.974855256244907,12.240802572889075
1,8.88888888888889,2.4283016081668647,1.2517501415905083,4.6513079547402825,10.580744000541099,5.7558318588123285,12.075512413354573
1,10.0,0.5518798733985038,0.7849609046588744,4.836510268596959,10.671375472500781,5.542431640848768,11.91229410685138
1,11.11111111111111,0.5518798733985038,0.7849609046588744,4.888365542269021,10.731093771050292,5.304008473276653,11.64334998323723
1,12.222222222222221,0.5518798733985038,0.7849609046588744,4.932513074156942,10.786616647512375,5.071948346307839,11.377833473669147
1,13.333333333333334,0.5518798733985038,0.7849609046588744,4.969184860665003,10.837998410812553,4.846229462169573,11.115744932659537
1,14.444444444444445,0.5518798733985038,0.7849609046588744,4.998614897726283,10.885297921136523,4.626819923953491,10.857079746953058
1,15.555555555555555,0.5518798733985038,0.7849609046588744,5.021041824436483,10.92857597922138,4.413684791812595,10.601832913432187
1,16.666666666666668,0.5518798733985038,0.7849609046588744,5.036698684044581,10.967892734697202,4.2067871136348645,10.349999248719925
1,17.77777777777778,0.5518798733985038,0.7849609046588744,5.045811306351629,11.003306934074885,4.006089002029115,10.101573522678645
1,18.88888888888889,0.5518798733985038,0.7849609046588744,5.048598867017452,11.0348760342803,3.8115512249251324,9.856550423164807
1,20.0,2.0841205873156885,2.5717033157691915,5.0452753035389915,11.062656498069838,3.623132932514405,9.61492452698882
1,21.11111111111111,2.0841205873156885,2.5717033157691915,5.137822115243747,11.190557160003522,3.557610210163311,9.464650571450617
1,22.22222222222222,2.0841205873156885,2.5717033157691915,5.225768453270934,11.314691633621273,3.49421327118966,9.316497027268442
1,23.333333333333332,2.0841205873156885,2.5717033157691915,5.309299633573952,11.43512274434389,3.4328957957916857,9.17045531959786
1,24.444444444444443,2.0841205873156885,2.5717033157691915,5.388587175023948,11.551914632359871,3.373611073803167,9.0265128389613
1,25.555555555555557,2.0841205873156885,2.5717033157691915,5.463812496977608,11.665136480548814,3.316307986401519,8.884655556255476
1,26.666666666666668,2.0841205873156885,2.5717033157691915,5.535150215772114,11.774856430969267,3.2609354102662804,8.744869178923848
1,27.77777777777778,2.0841205873156885,2.5717033157691915,5.602764591895362,11.881140035909542,3.207443489327752,8.607139504212618
1,28.88888888888889,2.0841205873156885,2.5717033157691915,5.666811919786499,11.984051020471613,3.1557831586255887,8.47145229324061
1,30.0,2.3720097063465295,0.6172407984731244,5.727443016309755,12.083651960476107,3.105905806535216,8.337793203875263
1,31.11111111111111,2.3720097063465295,0.6172407984731244,5.801293029703893,12.067170539526181,2.9301610366204964,8.222666882341924
1,32.22222222222222,2.3720097063465295,0.6172407984731244,5.867062381398071,12.049163360196497,2.7606985527832175,8.109284385323688
1,33.333333333333336,2.3720097063465295,0.6172407984731244,5.924990606595178,12.029660995602953,2.5974824755884893,7.997633811238598
