scenario,t,v1,v2,h1_0,h2_0,h3_0,h4_0,h1,h2,h3,h4
1,0.0,2.1103588401708375,1.4518712240877913,18.53525455331481,18.27845437143972,2.462130250709129,8.575816676590936,18.53525455331481,18.27845437143972,2.462130250709129,8.575816676590936
1,0.7894736842105263,2.1103588401708375,1.4518712240877913,18.53525455331481,18.27845437143972,2.462130250709129,8.575816676590936,18.39145424823988,18.254132571989764,2.3925603164383555,8.480605806145567
1,1.5789473684210527,2.1103588401708375,1.4518712240877913,18.53525455331481,18.27845437143972,2.462130250709129,8.575816676590936,18.24718601480983,18.2289832272681,2.3249443024298726,8.386403335632064
1,2.3684210526315788,2.1103588401708375,1.4518712240877913,18.53525455331481,18.27845437143972,2.462130250709129,8.575816676590936,18.102482135559487,18.203013452207077,2.259263989450491,8.29320808218804
1,3.1578947368421053,2.1103588401708375,1.4518712240877913,18.53525455331481,18.27845437143972,2.462130250709129,8.575816676590936,17.95737315039066,18.176232000310232,2.195497037262182,8.20101605374228
1,3.947368421052632,2.1103588401708375,1.4518712240877913,18.53525455331481,18.27845437143972,2.462130250709129,8.575816676590936,17.811904688031326,18.148651950561785,2.1336096717219544,8.109821197272513
1,4.7368421052631575,2.1103588401708375,1.4518712240877913,18.53525455331481,18.27845437143972,2.462130250709129,8.575816676590936,17.666114221272565,18.120284008778874,2.0735737481899146,8.019618480299144
1,5.526315789473684,2.1103588401708375,1.4518712240877913,18.53525455331481,18.27845437143972,2.462130250709129,8.575816676590936,17.520041250686933,18.091139400241985,2.015359291919565,7.930402576840749
1,6.315789473684211,2.1103588401708375,1.4518712240877913,18.53525455331481,18.27845437143972,2.462130250709129,8.575816676590936,17.3737262462702,18.0612295702764,1.9589352501163055,7.842168003573476
1,7.105263157894737,2.1103588401708375,1.4518712240877913,18.53525455331481,18.27845437143972,2.462130250709129,8.575816676590936,17.227209094653674,18.03056574385063,1.904270627425626,7.754909323047302
1,7.894736842105264,2.1103588401708375,1.4518712240877913,18.53525455331481,18.27845437143972,2.462130250709129,8.575816676590936,17.080528973316515,17.999158832811148,1.8513340077135763,7.668621101572319
1,8.68421052631579,2.1103588401708375,1.4518712240877913,18.53525455331481,18.27845437143972,2.462130250709129,8.575816676590936,16.933725580030437,17.96701995999182,1.8000941030914361,7.583297884455273
1,9.473684210526315,2.1103588401708375,1.4518712240877913,18.53525455331481,18.27845437143972,2.462130250709129,8.575816676590936,16.78683922974992,17.934160498384593,1.7505197763421174,7.49893419192799
1,10.263157894736842,2.1103588401708375,1.4518712240877913,18.53525455331481,18.27845437143972,2.462130250709129,8.575816676590936,16.639908884567262,17.900591213755586,1.7025785935130617,7.415524483019688
1,11.052631578947368,2.1103588401708375,1.4518712240877913,18.53525455331481,18.27845437143972,2.462130250709129,8.575816676590936,16.492973538274725,17.86632288632091,1.656238154673884,7.333063218630871
1,11.842105263157896,2.1103588401708375,1.4518712240877913,18.53525455331481,18.27845437143972,2.462130250709129,8.575816676590936,16.346073396441945,17.831366848668214,1.611467360441155,7.251544931194725
1,12.631578947368421,2.1103588401708375,1.4518712240877913,18.53525455331481,18.27845437143972,2.462130250709129,8.575816676590936,16.19924742639074,17.79573391053458,1.5682334459402067,7.170964010855093
1,13.421052631578947,2.1103588401708375,1.4518712240877913,18.53525455331481,18.27845437143972,2.462130250709129,8.575816676590936,16.052533715459987,17.759434533283493,1.5265022749481567,7.091314708035195
1,14.210526315789474,2.1103588401708375,1.4518712240877913,18.53525455331481,18.27845437143972,2.462130250709129,8.575816676590936,15.905972154329929,17.722479892197384,1.4862425215340505,7.0125915594865065
1,15.0,2.1103588401708375,1.4518712240877913,18.53525455331481,18.27845437143972,2.462130250709129,8.575816676590936,15.759601918509134,17.68488088545344,1.447421770190371,6.934788989013002
2,0.0,2.1576197633391714,0.9091268152568833,17.482924546041843,3.113986730985385,13.67568133137571,13.862708105249322,17.482924546041843,3.113986730985385,13.67568133137571,13.862708105249322
2,0.7894736842105263,2.1576197633391714,0.9091268152568833,17.482924546041843,3.113986730985385,13.67568133137571,13.862708105249322,17.539351020749656,3.2715658341965805,13.392416520001131,13.720019724972367
2,1.5789473684210527,2.1576197633391714,0.9091268152568833,17.482924546041843,3.113986730985385,13.67568133137571,13.862708105249322,17.591800380429948,3.425281896984221,13.112555077351605,13.578523294420416
2,2.3684210526315788,2.1576197633391714,0.9091268152568833,17.482924546041843,3.113986730985385,13.67568133137571,13.862708105249322,17.640312630755272,3.575256233363533,12.836099001953496,13.438217546976833
2,3.1578947368421053,2.1576197633391714,0.9091268152568833,17.482924546041843,3.113986730985385,13.67568133137571,13.862708105249322,17.684931140914397,3.7215966914006278,12.563043211100215,13.299098946174192
2,3.947368421052632,2.1576197633391714,0.9091268152568833,17.482924546041843,3.113986730985385,13.67568133137571,13.862708105249322,17.725703519663714,3.864415134531222,12.293381923643027,13.161163532788558
2,4.7368421052631575,2.1576197633391714,0.9091268152568833,17.482924546041843,3.113986730985385,13.67568133137571,13.862708105249322,17.76267721240213,4.003813879809929,12.027109110938682,13.024407255231711
2,5.526315789473684,2.1576197633391714,0.9091268152568833,17.482924546041843,3.113986730985385,13.67568133137571,13.862708105249322,17.795899183118657,4.139893033163438,11.764218759651607,12.888826085792973
2,6.315789473684211,2.1576197633391714,0.9091268152568833,17.482924546041843,3.113986730985385,13.67568133137571,13.862708105249322,17.825414977888716,4.272741067291749,11.504704743703147,12.754416005381664
