scenario,t,v1,v2,h1,h2,h3,h4
1,0.0,1.2521833251165468,0.6568915122976313,12.12486392905043,10.627975366093189,2.620078194107706,19.682494662496858
1,0.2222222222222222,1.2521833251165468,0.6568915122976313,12.094829736092102,10.656138579953945,2.5885363640345,19.619252000937934
1,0.4444444444444444,1.2521833251165468,0.6568915122976313,12.06466255629242,10.684105293823738,2.5572335709240304,19.556131999953717
1,0.6666666666666666,1.2521833251165468,0.6568915122976313,12.034361152815409,10.711872635106888,2.526173826963843,19.49313692256954
1,0.8888888888888888,1.2521833251165468,0.6568915122976313,12.0039268271824,10.739441398050923,2.495356699262895,19.430266768648398
1,1.1111111111111112,1.2521833251165468,0.6568915122976313,11.97335946093904,10.766811542337294,2.4647821633844935,19.367521499485587
1,1.3333333333333333,1.2521833251165468,0.6568915122976313,11.942661392520012,10.793984528251642,2.434449337841283,19.304901056600034
1,1.5555555555555554,1.2521833251165468,0.6568915122976313,11.911831956492108,10.820959940942476,2.4043584657108905,19.24240545275993
1,1.7777777777777777,1.2521833251165468,0.6568915122976313,11.880874056614493,10.847739600909373,2.3745083718790045,19.180034575160448
1,2.0,0.967364540854695,1.074234319136488,11.849786588302647,10.874322815643094,2.3448995033534112,19.117788466708372
1,2.2222222222222223,0.967364540854695,1.074234319136488,11.814835150414414,10.905550402987062,2.3210610168229446,19.052380092373703
1,2.4444444444444446,0.967364540854695,1.074234319136488,11.779817804644734,10.936568754788302,2.297412829310812,18.987100175590232
1,2.6666666666666665,0.967364540854695,1.074234319136488,11.74473439580289,10.967374327253042,2.2739582325661116,18.92195137625778
1,2.888888888888889,0.967364540854695,1.074234319136488,11.709587414519138,10.997968695227735,2.2506959013752645,18.856933713207354
1,3.111111111111111,0.967364540854695,1.074234319136488,11.674375569294146,11.028351095938929,2.227626472330345,18.79204713485559
1,3.333333333333333,0.967364540854695,1.074234319136488,11.639100042210075,11.058522306345463,2.2047492688098975,18.727291615755014
1,3.5555555555555554,0.967364540854695,1.074234319136488,11.603763902115698,11.08848434353994,2.182062534211047,18.66266708984048
1,3.7777777777777777,0.967364540854695,1.074234319136488,11.56836535317306,11.118236027154177,2.159567296467833,18.598173595772185
1,4.0,1.3079566924205486,1.760443451206311,11.53290489391547,11.147777684793365,2.137263262560959,18.533811118220925
1,4.222222222222222,1.3079566924205486,1.760443451206311,11.501916234958028,11.18507894265803,2.1242360787468164,18.473517785513977
1,4.444444444444445,1.3079566924205486,1.760443451206311,11.470930494534892,11.222166859890201,2.111316426513031,18.413343436899137
1,4.666666666666667,1.3079566924205486,1.760443451206311,11.43994875783828,11.259035715043195,2.098506907472487,18.353291777674634
1,4.888888888888889,1.3079566924205486,1.760443451206311,11.40897173040334,11.295686192373438,2.0858069695433015,18.29336278692457
1,5.111111111111111,1.3079566924205486,1.760443451206311,11.37800073408067,11.332119506810121,2.073215610509096,18.233556461362337
1,5.333333333333333,1.3079566924205486,1.760443451206311,11.347035002163555,11.368334990870437,2.060733392441223,18.173872782211447
1,5.555555555555555,1.3079566924205486,1.760443451206311,11.316076711737567,11.404334792829994,2.0483585698094573,18.11431164953859
1,5.777777777777778,1.3079566924205486,1.760443451206311,11.28512577398948,11.440118825050845,2.036091213821927,18.054873067420488
1,6.0,2.1643739257207724,0.559036231718441,11.25418184012007,11.475686744053283,2.0239316031898045,17.99555705097809
1,6.222222222222222,2.1643739257207724,0.559036231718441,11.234469554154275,11.497091067869617,1.995981422979996,17.946257209216895
1,6.444444444444445,2.1643739257207724,0.559036231718441,11.214587881241341,11.518340745917923,1.9682733565273713,17.89705776209221
1,6.666666666666667,2.1643739257207724,0.559036231718441,11.194535934384534,11.539434233654633,1.9408103226124935,17.847960083730246
1,6.888888888888889,2.1643739257207724,0.559036231718441,11.174314266640993,11.560371764577622,1.9135921344925544,17.798964157766022
1,7.111111111111111,2.1643739257207724,0.559036231718441,11.153924448186295,11.581154030598462,1.8866181684268273,17.75006989457269
1,7.333333333333333,2.1643739257207724,0.559036231718441,11.133366706049504,11.601781129698091,1.8598883395606312,17.70127728380971
1,7.555555555555555,2.1643739257207724,0.559036231718441,11.11264348831291,11.622254129665901,1.8334016579809447,17.652586184304912
1,7.777777777777778,2.1643739257207724,0.559036231718441,11.091754242610074,11.642572789586845,1.8071583441394525,17.60399662692386
1,8.0,1.9174270024230333,1.1540930221788912,11.070700583559258,11.662737808171876,1.781157731804826,17.55550851617762
1,8.222222222222221,1.9174270024230333,1.1540930221788912,11.046262332896275,11.689656076265917,1.7632760282293491,17.504271592925374
1,8.444444444444445,1.9174270024230333,1.1540930221788912,11.021750307060316,11.716401744807232,1.7455583098099736,17.453139864506248
1,8.666666666666666,1.9174270024230333,1.1540930221788912,10.997164742174315,11.742972408888875,1.7280066190221708,17.402115232161922
1,8.88888888888889,1.9174270024230333,1.1540930221788912,10.972508097636936,11.769369276117137,1.7106194191952653,17.351197622405863
1,9.11111111111111,1.9174270024230333,1.1540930221788912,10.947778858363929,11.79559164867312,1.6933976165493716,17.300387045464802
1,9.333333333333334,1.9174270024230333,1.1540930221788912,10.9229773176938,11.821639675127617,1.6763410204142175,17.24968348732297
1,9.555555555555555,1.9174270024230333,1.1540930221788912,10.898106242383474,11.847514756794325,1.6594478323955157,17.199086815784106
1,9.777777777777779,1.9174270024230333,1.1540930221788912,10.873166035691927,11.87321710437713,1.642717774394303,17.148597002208728
1,10.0,1.4956348972469118,1.5341871871824468,10.84815799473669,11.898747382216769,1.6261499850438461,17.098213973923816
